Altium Designer Pick and Place Locations
C:\Users\Norobe\AppData\Local\TempReleases\Snapshot\1\Assembly PrototypeVariant\Pick Place\Pick Place for BabbleVR_PCB(PrototypeVariant).csv

========================================================================================================================
File Design Information:

Date:       13.04.25
Time:       00:20
Revision:   Not in VersionControl
Variant:    PrototypeVariant
Units used: mm

"Center-X(mm)","Center-Y(mm)","Comment","Description","Designator","Footprint","Layer","Rotation"
"7.7250","8.6000","TVS, 5.5V, 2A, , , SC-70-3, -55...+150°C","","VD6","SC-70","BottomLayer","90"
"6.7000","6.3000","Resistor film, 470R, ±5%, 0402, 0.063W, -55...+125°C","","R25","RES:_0402","BottomLayer","0"
"8.7000","6.3000","Resistor film, 470R, ±5%, 0402, 0.063W, -55...+125°C","","R24","RES:_0402","BottomLayer","180"
"10.7000","6.3000","Fixed inductor, BEAD, ±25%, 0402, 900mA, -55...+125°C","","L3","IND:_0402","BottomLayer","180"
"7.7000","3.2750","Connector, 4pin, 1.25mm, 50VDC, 1A","","X4","CON:_SM04B-GHS","BottomLayer","180"
"31.2675","23.6125","MOSFET Dula-channel transistor, 20V, 700mA, N-70pC, P-850pC, 1W, N-480mOhm, P-970mOhm, N-750pF, P-1000pF, SOT563, -55...+150°C","","VT2","SOT563-6","BottomLayer","90"
"15.0000","8.1000","Resistor film, 10k, ±5%, 0402, 0.063W, -55...+125°C","","R22","RES:_0402","BottomLayer","90"
"33.1000","24.0000","Resistor film, 510k, ±5%, 0402, 0.063W, -55...+125°C","","R21","RES:_0402","BottomLayer","90"
"29.5000","24.0000","Resistor film, 510k, ±5%, 0402, 0.063W, -55...+125°C","","R20","RES:_0402","BottomLayer","90"
"13.2500","2.3000","Ceramic capacitor, 4.7uF, X7R, ±10%, 16V, 0402, -55...+125°C","","C19","CAP:_0402","TopLayer","180"
"30.5000","14.2000","Test point, Keystone, 5001","","TP1","CON:_TEST_POINT_1_MM","BottomLayer","180"
"28.3000","4.3625","USB Type C, 5A","","X2","CON:_TYPE-C-SOFNG_MC-311S","BottomLayer","0"
"28.3750","10.0000","ESD protection, , 8kV, , -40...+125°C, SOT23-6L","ESD protection","D3","SOT23-6","BottomLayer","90"
"18.0000","6.4250","Connector, 24pin, 0.5mm, FFC/FPC, 0.5A","","X1","CON:_FFC/FPC-24-0.5(Hirose)","TopLayer","0"
"31.2000","28.3750","MOSFET N-channel transistor, 60V, 380mA, , 300mW, 2.3Ohm, 34pF, SC-70, -55...+150°C","","VT1","SC-70","BottomLayer","0"
"5.0000","29.0000","LED, 850...858nm, 35mA, 1.5V, 1206, -55...+150°C","","VD5","LED:_1206R","TopLayer","270"
"5.0000","18.0000","LED, 850...858nm, 35mA, 1.5V, 1206, -55...+150°C","","VD4","LED:_1206R","TopLayer","270"
"31.0000","29.0000","LED, 850...858nm, 35mA, 1.5V, 1206, -55...+150°C","","VD3","LED:_1206R","TopLayer","270"
"31.0000","18.0000","LED, 850...858nm, 35mA, 1.5V, 1206, -55...+150°C","","VD2","LED:_1206R","TopLayer","270"
"6.7000","17.9000","LED, Green, *, *, *, -55...+150°C","","VD1","LED:_0402R","TopLayer","90"
"31.3000","21.7000","Resistor film, 9.1R, ±5%, 0603, 0.1W, -55...+125°C","","R8","RES:_0603","BottomLayer","180"
"31.2000","25.5000","Resistor film, 22R, ±5%, 0402, 0.063W, -55...+125°C","","R6","RES:_0402","BottomLayer","180"
"3.3000","18.0000","Resistor film, 470R, ±5%, 0402, 0.063W, -55...+125°C","","R3","RES:_0402","BottomLayer","270"
"17.9250","5.0000","Linear voltage regulator, 2...5.5V, 0.26V, 1.2V, 0.3A, -40...+85°C, SOT23-5","Linear voltage regulator 1.2V","D6","SOT23-5","BottomLayer","270"
"31.6875","12.7875","Charger li-ion battery, input 4.35...26V, , 1A, -40...+125°C, 8-DSBGA","Charger","D5","8-DSBGA","BottomLayer","0"
"13.9250","5.0000","Linear voltage regulator, 2.9...6V, 0.5V, 1.5V, 0.25A, -40...+85°C, SOT23-5","Linear voltage regulator 2.8V","D4","SOT23-5","BottomLayer","270"
"17.4000","2.3000","Ceramic capacitor, 1uF, X7R, ±10%, 16V, 0402, -55...+125°C","","C17","CAP:_0402","BottomLayer","0"
"17.5000","7.6000","Ceramic capacitor, 1uF, X7R, ±10%, 16V, 0402, -55...+125°C","","C14","CAP:_0402","BottomLayer","0"
"14.0000","2.3000","Ceramic capacitor, 1uF, X7R, ±10%, 16V, 0402, -55...+125°C","","C13","CAP:_0402","BottomLayer","0"
"13.5000","7.6000","Ceramic capacitor, 1uF, X7R, ±10%, 16V, 0402, -55...+125°C","","C12","CAP:_0402","BottomLayer","0"
"18.4000","3.3000","Ceramic capacitor, 4.7uF, X7R, ±10%, 16V, 0402, -55...+125°C","","C6","CAP:_0402","TopLayer","0"
"13.2500","3.3000","Ceramic capacitor, 4.7uF, X7R, ±10%, 16V, 0402, -55...+125°C","","C5","CAP:_0402","TopLayer","180"
"17.4000","2.3000","Ceramic capacitor, 4.7uF, X7R, ±10%, 16V, 0402, -55...+125°C","","C4","CAP:_0402","TopLayer","0"
"33.6000","16.1000","Connector, 2pin, 2mm, , ","","X3","CON:_BAT_(2.00)","BottomLayer","180"
"4.0000","12.0000","Tactile button, TS-1186F","","SB1","BUT:_TS-1186F-B-A","BottomLayer","90"
"4.0000","25.0000","Tactile button, TS-1186F","","SB2","BUT:_TS-1186F-B-A","BottomLayer","90"
"23.2000","7.7000","Resistor film, 330R, ±5%, 0603, 0.1W, -55...+125°C","","R10","RES:_0603","BottomLayer","180"
"26.3000","19.8000","Resistor film, 510k, ±5%, 0402, 0.063W, -55...+125°C","","R13","RES:_0402","BottomLayer","90"
"26.8000","13.8500","Resistor film, 22R, ±5%, 0402, 0.063W, -55...+125°C","","R16","RES:_0402","BottomLayer","0"
"4.0000","8.6000","Resistor film, 10k, ±5%, 0402, 0.063W, -55...+125°C","","R2","RES:_0402","BottomLayer","180"
